Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw
172,WC-1966,1966 FIFA World Cup,M-1966-04,Soviet Union v North Korea,group stage,Group 4,1,0,0,0,7/12/1966,19:30,S-033,n/a,Middlesbrough,England,T-70,Soviet Union,SUN,T-49,North Korea,PRK,30,3,0,3,-3,0,0,,0,0,home team win,1,0,0
17,WC-1930,1930 FIFA World Cup,M-1930-17,Uruguay v Yugoslavia,semi-finals,not applicable,0,1,0,0,27-07-1930,14:45,S-191,Estadio Centenario,Montevideo  ,Uruguay,T-81,URUGUAY,URY,T-84,Yugoslavia,YUG,6 - 1,6,1,5,-5,0,0,0-0,0,0,home team win,1,Yes,0
512,WC-1994,1994 FIFA World Cup,M-1994-48,Romania v Sweden,quarter-finals,not applicable,0,True,0,0,10/07/1994,12:30,S-189,Stanford Stadium,  Stanford,  United States  ,T-59,Romania,ROU,T-72,  Sweden  ,SWE,22,2,2,0,0,1,1,45,4,5,away team win,No,1,0
49,WC-1938,1938 FIFA World Cup,M-1938-14,Brazil v Czechoslovakia,quarter-finals,not applicable,0,1,0,1,06-14-1938,18:00,S-037,Stade du Parc Lescure,NULL,France,T-09,BRAZIL,BRA,T-20,Czechoslovakia,CSK,21,2,1,1,-1,YES,0,0-0,0,0,home team win,1,0,0
192,WC-1966,1966 FIFA World Cup,M-1966-24,Soviet Union v Chile,group stage,Group 4,1,0,0,0,7/20/1966,19:30,S-035,Roker Park,Sunderland,England,T-70,Soviet Union,sun,T-13,Chile,CHL,2x1,2,1,1,-1,True,0,0-0,0,0,home team win,1,0,0
907,WC-2022,2022 FIFA World Cup,M-2022-07,Mexico v Poland,group stage,Group C,1,1,0,0,11/22/2022,19:00,S-113,Stadium 974,Doha,Qatar  ,T-44,Mexico,MEX,T-55,POLAND,POL,00,0,0,0,0,0,0,0-0,0,0,draw,0,0,1
516,WC-1994,1994 FIFA World Cup,M-1994-52,Brazil v Italy,the final,not applicable,0,1,0,0,7/17/1994,N/A,S-187,Rose Bowl,Pasadena,United States,T-09,Brazil,BR,T-39,Italy,ITA,00,0,0,0,0,1,1,32,3,2,home team win,1,0,0
735,WC-2010,2010 FIFA World Cup,M-2010-27,Slovakia v Paraguay,GROUP STAGE,Group F,1,0,0,0,6/20/2010,13:30,S-127,Free State Stadium,Bloemfontein,South Africa,T-66,slovakia,SVK  ,T-53,Paraguay,PRY,02,0,2,-2,2,0,,0-0,0,0,away team win,0,False,0
741,WC-2010,2010 FIFA World Cup,M-2010-33,France v South Africa,group stage,Group A,1,0,0,0,6/22/2010,16:00,S-127,Free State Stadium,bloemfontein,South Africa,T-28,France,FRA,T-68,South Africa,ZAF,12,1,-1,-1,1,YES,0,0-0,0,0,AWAY TEAM WIN,0,1,0
481,WC-1994,1994 FIFA World Cup,M-1994-17,South Korea v Bolivia,group stage,Group C,1,0,0,0,6/23/1994,19:30,S-185,FOXBORO STADIUM,Foxborough,United States,T-69,South Korea,KOR,T-07,Bolivia,BOL,00,0,-1,0,0,0,0,0-0,0,0,draw,0,0,1
